eps,min_samples,n_clusters,n_noise,noise_rate,silhouette,labels
0.1,5,3,6,0.09149130832570906,0.5262872217590563,[0 0 0 ... 0 0 0]
0.1,10,2,34,0.5184507471790181,0.7693201233677138,[0 0 0 ... 0 0 0]
0.1,15,3,55,0.8386703263189996,0.7253219943438451,[0 0 0 ... 0 0 0]
0.15,5,1,2,0.030497102775236352,-1.0,[0 0 0 ... 0 0 0]
0.15,10,1,2,0.030497102775236352,-1.0,[0 0 0 ... 0 0 0]
0.15,15,1,14,0.21347971942665445,-1.0,[0 0 0 ... 0 0 0]
0.2,5,1,0,0.0,-1.0,[0 0 0 ... 0 0 0]
0.2,10,1,0,0.0,-1.0,[0 0 0 ... 0 0 0]
0.2,15,1,0,0.0,-1.0,[0 0 0 ... 0 0 0]
0.25,5,1,0,0.0,-1.0,[0 0 0 ... 0 0 0]
0.25,10,1,0,0.0,-1.0,[0 0 0 ... 0 0 0]
0.25,15,1,0,0.0,-1.0,[0 0 0 ... 0 0 0]
0.3,5,1,0,0.0,-1.0,[0 0 0 ... 0 0 0]
0.3,10,1,0,0.0,-1.0,[0 0 0 ... 0 0 0]
0.3,15,1,0,0.0,-1.0,[0 0 0 ... 0 0 0]
0.35,5,1,0,0.0,-1.0,[0 0 0 ... 0 0 0]
0.35,10,1,0,0.0,-1.0,[0 0 0 ... 0 0 0]
0.35,15,1,0,0.0,-1.0,[0 0 0 ... 0 0 0]
